Facility,MFL,Patients
Ahero County Hospital,13468,
Ahf Soko Clinic,18804,
AIC Litein Mission Hospital,14178,
Akala Health Centre,13471,
Alupe Sub-District Hospital,15795,
Ambira Sub-County Hospital,13476,
Amukura Health Centre,15798,
Asumbi Health Centre,13488,
Athi River Health Centre,11936,
Awendo Sub-District Hospital,13492,
Bahati District Hospital,14224,
Bamba Sub-District Hospital,11237,
Baringo County Referral Hospital,14607,
Bomachoge Borabu  Sub County Refferal Hospital,13673,
Bomu Medical Hospital (Changamwe),11258,
Bondo District Hospital,13507,
Bumula  Subcounty Hospital,15825,
Bunde Dispensary,13518,
Bungoma County Referral Hospital,15828,
Bura Sub-County  Hospital,11264,
Burnt Forest Rhdc (Eldoret East),16347,
Busia County Refferal Hospital,15834,
Butere County Hospital,15836,
Catholic Hospital Wamba,15769,
Chebiemit Subcounty Hospital,14294,
Chemelil GOK Health Center,13521,
Chemolingot Sub County Hospital,14321,
Chepkorio Health Centre,14346,
Cheptais Sub County Hospital,15855,
Chepterwai Sub-County Hospital,14369,
Cherangany Sub County Hospital,14379,
Chuka County Refferal Hospital,11973,
Chulaimbo County Hospital,13528,
Chwele Sub District Hospital,15860,
Coast Province General Hospital,11289,
Coptic Hospital (Ngong Road),12905,
Dandora II Health Centre,12912,
Diani Health Centre,11304,
Doldol Sub County Hospital,14404,
EDARP Donholm Clinic,12920,
Ekerenyo Sub-District Hospital,13540,
Eldama Ravine District Hospital,14432,
Embakasi Health Centre,12935,
Embu Provincial General Hospital,12004,
Emuhaya Sub County Referral Hospital,15876,
Endebess Sub County Hospital,14455,
Engineer District Hospital,10171,
Ewaso Ngiro Health Centre,14485,
Ganze Health Centre,11383,
Garbatulla District Hospital,12029,
Garissa County Referral Hospital,13346,
Garsen Health Centre,11385,
Gatundu District Hospital,10233,
Gesusu Sub-Referral District Hospital,13564,
Gilgil Sub-County Hospital,14510,
Githongo District Hospital,12041,
Got Kojowi Health Centre,13589,
Gucha Sub County Referral Hospital,13594,
Hamisi Sub County Referral Hospital,15894,
Hola county referal Hospital,11411,
Homa Bay County Teaching and Referral Hospital,13608,
Igegania Sub-District Hospital,10338,
Iguhu County Hospital,15899,
Ijara District Hospital -Masalani,13406,
Iranda Subcounty Referal Hospital,13620,
Isibania Sub-District Hospital,13625,
Isiolo District Hospital,12094,
Iten County Referral Hospital,14586,
Iyabe District Hospital (Kisii South),13631,
JM Kariuki County Memorial Hospital (Olkalou),10916,
Kabartonjo District Hospital,14609,
Kabiyet Sub County Hospital,14623,
Kabondo Sub County Hospital,13638,
Kajiado County Referral Hospital,14652,
Kakamega County General Hospital,15915,
Kandara sub county hospital,10459,
